from_ba_id,from_gf_id,to_ba_id,to_gf_id
3151a2f4-1f93-41c6-998a-3b5bcbb27717,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
33f6866f-cc76-4125-b27d-84ac0110ba94,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,1dd23b35-32d7-489f-bee1-3985e17c113f,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,66f2cd86-a949-414e-96ac-5ea1fb702c5c,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,6b2aabb4-d16f-445e-933f-16341030fdba,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,7a3be72b-a96e-4434-9c42-a817fe3fc765,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,888609b5-b58a-4d57-addc-a6935bba284b,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,b406252b-c160-4fd6-b7f9-f61d5e2779a5,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,cbff6080-6387-44e5-b7ad-35f35f3db3a7,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,cf2deca6-53b8-4096-916f-32c2c71d14bf,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,e149db12-9398-4a10-8642-5db70d1a8505,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,eb67cf91-533d-465c-bace-c7c6d3901516,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
38f10f9e-f39d-4135-ae40-6c32f77a2242,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
39aa8616-e9ed-4fda-809a-5f9befc6efc2,,2b55697f-f26e-433e-9070-f1fe9748bf7b,cf2deca6-53b8-4096-916f-32c2c71d14bf
3a8d7636-166d-4841-9ddb-9c378f9b32ec,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
3aa2e125-3f74-4f91-94f6-fd030319f2b1,cf2deca6-53b8-4096-916f-32c2c71d14bf,3aa2e125-3f74-4f91-94f6-fd030319f2b1,
428869c1-da96-4bae-8f1d-d0b81c5ee706,,bbff20b3-6dd9-4be8-aa3e-6619229d2d6b,
42bada38-002f-4636-864f-920bab234329,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
430912ef-7750-4e71-a976-6da41cfba4b3,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
43471c27-e415-4559-913f-6d3c3d50e199,,6b9fdd82-685f-4f21-8fa3-883e06be2c30,
436b15f7-c235-4124-8eef-4aa2e25f2c4d,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
43cf8a4f-6523-4dae-8fd5-c34fa4afc8cd,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
4412ffc1-93ca-42f5-bb58-01c191272fc4,,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
457699ac-fd34-4640-bce4-070b1d7db3b5,,30a987e9-b420-4db6-a83a-a1f7cabd14fb,
462970b7-3c1d-48a7-9f6f-d657b27a5bef,,2b55697f-f26e-433e-9070-f1fe9748bf7b,888609b5-b58a-4d57-addc-a6935bba284b
482031e2-dcaf-44ba-af36-fa425bb72533,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,b406252b-c160-4fd6-b7f9-f61d5e2779a5,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,cf2deca6-53b8-4096-916f-32c2c71d14bf,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,e149db12-9398-4a10-8642-5db70d1a8505,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
4b404c52-42a0-4efa-a950-2824489c8deb,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
4b503b74-748b-4773-a788-e16a84f59f81,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
4bb12554-2294-4260-8ce2-1938c5c3736c,,0f18ea18-0e25-42e8-bb96-f4be5f144075,
