from_ba_id,from_gf_id,to_ba_id,to_gf_id
1c6f276f-0860-480e-ac74-9f638b5fb144,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
1e98daa8-4101-4890-9bc8-9ca10b59125f,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
1ead22b4-8fcc-4dfe-8e70-93809b972d0d,,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
1f0f7abe-fbf6-4dfb-bde1-b0a65ad89716,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
1f1f50ce-053d-422e-bb68-014710945279,,e5e686e5-5f55-499c-ab8e-dc8aa79db5c4,
1f2875e2-2d46-48ac-9fd9-85f4edac8f89,,588f63cd-ffd2-4c38-8684-1208109165eb,
1f590289-ca7e-46a6-b59a-765fb7e980dd,,2b55697f-f26e-433e-9070-f1fe9748bf7b,
1ff7bfc3-fcfc-4d13-a053-a7273f21e403,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
20ecb3cc-7dc7-40e2-a313-ae6db6e0f0b3,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
2169cd62-09dd-4748-aea7-396a134d42e3,,748cb267-f47c-4920-b5b0-39109ade448f,
223320a6-797b-4e82-8c56-be6a21bc1c18,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
22adffd4-cf43-406a-965d-792ae09c7750,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
25602421-639d-4d60-beec-05ceae778c62,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
25a268ff-56c1-43ad-9b05-c04115d4af66,,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
264a6ce2-0276-4921-83a9-9d9e39ca06ae,,f7980725-60b3-47c9-abd2-0a006ea30061,
26c3118a-1908-44b9-91d5-5f5a1d28cbb1,,3218e7ea-8827-4262-96a1-104e5ec50ffc,
274127b1-b571-4fd8-a06d-e4b5719aecc5,,30a987e9-b420-4db6-a83a-a1f7cabd14fb,
2974a98a-6ada-47c5-877f-edd74d71576c,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
2b1e2403-6391-4017-9044-0f00a7cb9068,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
2b55697f-f26e-433e-9070-f1fe9748bf7b,b406252b-c160-4fd6-b7f9-f61d5e2779a5,2b55697f-f26e-433e-9070-f1fe9748bf7b,
2b55697f-f26e-433e-9070-f1fe9748bf7b,e149db12-9398-4a10-8642-5db70d1a8505,2b55697f-f26e-433e-9070-f1fe9748bf7b,
2c9bc345-d7ad-4a51-ac0e-9d9508a5cf17,,748cb267-f47c-4920-b5b0-39109ade448f,
2db1ed39-900e-4ca6-b34d-f681948ee1b4,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
2ddb0978-8a21-497a-b9ea-9835f27b5a02,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
2e017889-154b-4ac4-993c-824fb60ba8f8,,5f1f7956-bc21-4bfd-a409-9740e614b2ac,
2ea7656b-0d3c-4465-ae06-6447d55b67d4,,22e2002e-0d55-4a43-88b3-caf04dbf874f,
2f7759c2-3c6d-4011-be49-8423a8c8df94,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
30282a90-a1dd-4ed2-bdf7-33b1dfdca622,,6b9fdd82-685f-4f21-8fa3-883e06be2c30,
30962e32-ee5f-4e61-a954-dfe0ead2a691,,dcbcb1cf-af35-4755-8023-6d1b6f4fd8cf,
30a987e9-b420-4db6-a83a-a1f7cabd14fb,cf2deca6-53b8-4096-916f-32c2c71d14bf,30a987e9-b420-4db6-a83a-a1f7cabd14fb,
3151a2f4-1f93-41c6-998a-3b5bcbb27717,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
319fcee9-ffa7-4fd4-a3e1-c96955ccdbce,,53b51b8f-3d3d-426a-9316-5057cc57d7f9,
31d59308-2f1f-491f-ad35-36057040e4b8,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
32602f4d-fa6e-46d8-ab45-f3f25b431e87,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
349670e2-ca30-4199-a67d-c291fc049b01,,af6c43fd-0f41-4103-8ad5-8d1191bd4c9f,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,1dd23b35-32d7-489f-bee1-3985e17c113f,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,66f2cd86-a949-414e-96ac-5ea1fb702c5c,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,6b2aabb4-d16f-445e-933f-16341030fdba,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,7a3be72b-a96e-4434-9c42-a817fe3fc765,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,888609b5-b58a-4d57-addc-a6935bba284b,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,b406252b-c160-4fd6-b7f9-f61d5e2779a5,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
