from_ba_id,from_ba_name,from_gf_id,from_gf_name,to_ba_id,to_ba_name,to_gf_id,to_gf_name
d6511689-4a1f-4c28-b5bc-1eaf02b5dfbc,Acanthastrea,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
d6511689-4a1f-4c28-b5bc-1eaf02b5dfbc,Acanthastrea,888609b5-b58a-4d57-addc-a6935bba284b,Massive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
d6511689-4a1f-4c28-b5bc-1eaf02b5dfbc,Acanthastrea,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
d6511689-4a1f-4c28-b5bc-1eaf02b5dfbc,Acanthastrea,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
d6511689-4a1f-4c28-b5bc-1eaf02b5dfbc,Acanthastrea,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,7e71833a-fc29-4176-91cb-1df6723089ed,Arborescent,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,cf2deca6-53b8-4096-916f-32c2c71d14bf,Branching,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,cbff6080-6387-44e5-b7ad-35f35f3db3a7,Columnar,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,1dd23b35-32d7-489f-bee1-3985e17c113f,Corymbose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,eb67cf91-533d-465c-bace-c7c6d3901516,Digitate,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Encrusting,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,888609b5-b58a-4d57-addc-a6935bba284b,Massive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
63196133-4adb-41ef-8785-a7f74fbd2256,Acanthastrea echinata,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,7e71833a-fc29-4176-91cb-1df6723089ed,Arborescent,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
